"xAgg1" "xAgg2" "xAgg3" "xAgg4" "xAgg5" "xAgg6" "xAgg7" "xAgg8" "xAgg9" "xAgg10" "xAgg11" "xAgg" "xcAgg1" "xcAgg2" "xcAgg3" "xcAgg4" "xcAgg5" "xcAgg6" "xcAgg7" "xcAgg8" "xcAgg9" "xcAgg10" "xcAgg11" "xcAgg" "pAgg1" "pAgg2" "pAgg3" "pAgg4" "pAgg5" "pAgg6" "pAgg7" "pAgg8" "pAgg9" "pAgg10" "pAgg11" "population3" "wAgg1" "wAgg2" "wAgg3" "wAgg4" "wAgg5" "wAgg6" "wAgg7" "wAgg8" "wAgg9" "wAgg10" "wAgg11" "xFoodUsdoc" "xFoodUsda" "xFoodNew" "pMeat1" "pMeat2" "pMeat3" "pMeat4" "cMeat1" "cMeat2" "cMeat3" "cMeat4" "xMeat1" "xMeat2" "xMeat3" "xMeat4" "xMeat" "pMeat" "pMeatNew" "xFood1" "xFood2" "xFood3" "xFood4" "xFood" "xcFood1" "xcFood2" "xcFood3" "xcFood4" "xcFood" "pFood1" "pFood2" "pFood3" "pFood4" "population12" "wFood1" "wFood2" "wFood3" "wFood4"
"1957" 61281 15352 29458 36410 10558 21163 15024 34871 13381 28047 14864 280409 91742 24082 41349 49581 13821 31045 26212 44167 18484 49661 24557 414701 66.8 63.7 71.2 73.4 76.4 68.2 57.3 79 72.4 56.5 60.5 171.2 0.219 0.055 0.105 0.13 0.038 0.075 0.054 0.124 0.048 0.1 0.053 61281 58293 61266 57.8 71.3 55 105.8 72.8 56.8 10.2 31.4 51.1 34.3 6.5 15.1 106.9 67 65.8 108.9 73.7 50.8 132.4 365.8 162.6 112.7 70.1 183.7 529 67 65.4 72.4 72.1 168.4 0.298 0.201 0.139 0.362
"1958" 63977 15732 29810 39000 11219 21983 16337 32213 13867 29677 15646 289461 91976 24456 41656 52152 14498 31355 27571 40689 18663 50748 25208 418972 69.6 64.3 71.6 74.8 77.4 70.1 59.3 79.2 74.3 58.5 62.1 174.1 0.221 0.054 0.103 0.135 0.039 0.076 0.056 0.111 0.048 0.103 0.054 63977 60994 64381 67.2 76 58.8 104.5 67.4 56 10.6 34 55.1 36 7.2 16.1 114.4 73.3 72.9 115.1 75.5 51.3 134.2 376.1 157 107.9 69.5 190.1 524.5 73.3 70 73.8 70.6 171.5 0.306 0.201 0.136 0.357
"1959" 66301 16937 31494 41782 11665 23749 17822 37357 14914 32101 16647 310769 95936 25420 43557 55090 14779 32922 29196 45510 19848 53268 25956 441482 69.1 66.6 72.3 75.8 78.9 72.1 61 82.1 75.1 60.3 64.1 177.1 0.213 0.055 0.101 0.134 0.038 0.076 0.057 0.12 0.048 0.103 0.054 66301 63118 66564 69.2 67.6 59.8 95.3 66.8 62.8 10.9 35.2 56.2 35.9 7.5 15.2 114.9 70.5 70.5 114.9 77.9 53.1 134.3 380.2 162.9 113.1 71.3 192.5 539.8 70.5 68.9 74.5 69.8 174.5 0.302 0.205 0.14 0.353
"1960" 68133 17504 32171 44737 12152 25198 19244 37962 15853 34681 17268 324903 97363 25579 43812 58111 15140 34097 30601 46041 20765 55071 26411 452991 70 68.4 73.4 77 80.3 73.9 62.9 82.5 76.3 63 65.4 180 0.21 0.054 0.099 0.138 0.037 0.078 0.059 0.117 0.049 0.107 0.053 68133 66881 69153 67.4 67.2 59.9 96.8 69.5 60.3 10.3 34 57 34.3 7.1 14.9 113.3 69.6 69.4 113.3 82.4 52.7 139.8 388.3 162.8 116.7 69.5 196.1 545.1 69.6 70.6 75.9 71.3 178.1 0.292 0.212 0.136 0.36
"1961" 70034 18008 32849 47600 12561 25740 20561 36363 16772 36726 17779 334993 98931 26095 44420 61056 15364 34518 31885 43679 21657 57823 26816 462244 70.8 69 74 78 81.8 74.6 64.5 83.3 77.4 63.5 66.3 183 0.209 0.054 0.098 0.142 0.037 0.077 0.061 0.109 0.05 0.11 0.053 70034 68672 70719 66.3 70.3 61.2 87.4 70.5 57.6 10.7 37.3 56.9 34.3 7.6 14.8 113.5 69.8 69.3 114.3 82.9 52.9 141.2 391.3 163.7 116.8 68.2 192.4 541.1 69.8 71 77.5 73.4 181.1 0.292 0.212 0.135 0.361
"1962" 71630 18768 34347 50977 13179 27127 22448 40928 18474 38494 18845 355217 100132 26857 46221 64603 16109 36022 34119 48378 23673 58861 27895 482870 71.5 69.9 74.3 78.9 81.8 75.3 65.8 84.6 78 65.4 67.6 185.8 0.202 0.053 0.0979 0.144 0.037 0.076 0.063 0.115 0.052 0.108 0.053 71630 71317 73436 68.7 71 63.8 92.4 70.8 59.1 10.6 36.8 59.2 35.5 7.8 15.4 117.9 71.5 71.4 118 85.9 54 142 399.9 165 120.2 68.1 195.8 549.2 71.5 71.5 79.2 72.5 183.7 0.295 0.215 0.135 0.355
"1963" 73535 19564 35338 53960 13867 28101 24188 45304 19752 41107 19862 374578 101330 27514 47029 67688 16856 37270 36237 53019 24927 60755 28743 501368 72.6 71.1 75.1 79.7 82.3 75.4 66.7 85.4 79.2 67.7 69.1 188.5 0.196 0.052 0.094 0.144 0.037 0.075 0.065 0.121 0.053 0.11 0.053 73535 74044 76189 67.9 69.2 63.6 90.9 74 61.1 10.7 37.6 61.1 35.8 7.9 15.5 120.3 70.4 70.3 120.4 86.6 55.1 146.5 408.7 171.1 114.6 68.6 198.8 553.1 70.4 75.6 80.3 73.7 186.5 0.295 0.212 0.135 0.359
"1964" 77978 20117 38213 57164 14521 29426 27120 49757 21275 43810 20998 400379 105625 27869 50298 70997 17785 38981 39842 57652 26411 63397 29836 528693 73.8 72.2 76 80.5 81.6 75.5 68.1 86.3 80.6 69.1 70.4 191.1 0.195 0.05 0.095 0.143 0.036 0.073 0.068 0.124 0.053 0.109 0.052 77978 77504 78613 66 68.8 62.2 88.9 78.2 60.9 10.5 38.5 62.7 35.5 7.5 15.5 121.3 69.3 68.8 122.1 90.3 56.9 147.2 416.6 176.2 115.1 70.6 193.7 555.6 69.3 78.5 80.6 76 189.1 0.293 0.217 0.137 0.353
"1965" 83510 21191 40228 60968 15288 31627 28897 55768 23012 47070 22595 430154 110478 28751 52416 74967 18636 40448 41357 64899 28402 66487 31270 558111 75.6 73.7 76.7 81.3 82 78.2 69.9 85.9 81 70.8 72.3 193.5 0.194 0.049 0.094 0.142 0.036 0.074 0.067 0.13 0.053 0.109 0.053 83510 81114 82135 69.1 78.4 64 91.7 77.9 54.7 10.8 40.7 65.5 36.3 8 16.9 126.6 73.8 73.7 126.9 92.8 58.7 150.6 428.9 171.9 118.4 71.7 198.9 560.9 73.8 78.4 81.8 75.7 191.6 0.296 0.216 0.137 0.351
"1966" 90042 22503 43927 64727 16156 34371 31262 59823 25847 51397 24737 464792 113187 29694 55817 78507 19504 42734 42861 69479 31601 69661 33023 586068 79.6 75.8 78.7 82.4 82.8 80.4 72.9 86.1 81.8 73.8 74.9 195.6 0.194 0.048 0.095 0.139 0.035 0.074 0.067 0.129 0.056 0.111 0.053 90042 86923 87827 72.8 89.6 68.1 96.6 80.9 54.3 10.9 43.4 71.6 41.2 8.6 19 140.4 80.2 79.5 141.6 96.1 58.6 159.1 455.4 176.6 120 68.8 200.6 565.9 80.2 80.1 85.2 79.3 193.4 0.311 0.211 0.129 0.349
"1967" 92301 23575 45957 68883 17007 36792 33881 61514 27158 56155 27135 490358 115166 29887 56068 82077 20281 44522 43893 70109 32371 73681 35111 603166 80.1 78.9 82 83.9 83.9 82.6 77.2 87.7 83.9 76.2 77.3 197.5 0.188 0.048 0.094 0.14 0.035 0.075 0.069 0.125 0.055 0.115 0.055 92301 91620 91069 73.2 82.2 70.5 90.6 82 59.8 10.6 44.9 73 41.6 8.6 18.5 141.7 78.1 77.5 142.9 99 63.7 162 467.5 182.9 123.7 73 196.4 576 78.1 80 87.2 82.5 195.3 0.306 0.212 0.136 0.347
"1968" 99982 25056 50073 74348 18073 39766 37458 71067 29898 61098 29115 535934 120121 30224 58035 86522 21235 47008 46161 78094 34298 75557 36162 633417 83.2 82.9 86.3 85.9 85.1 84.6 81.1 91 87.2 80.9 80.5 199.4 0.187 0.047 0.093 0.139 0.034 0.074 0.07 0.133 0.056 0.114 0.054 99982 96789 96223 76.2 82.4 71.6 93.4 84.2 61.4 11 44.6 78 42.8 9.1 18.9 148.8 79.8 79.5 149.4 103.5 65 170.8 488.8 187.3 119.9 74.3 200.5 582 79.8 86.3 87.5 85.2 197.1 0.306 0.212 0.133 0.35
"1969" 106795 26260 53835 80671 19349 43539 43291 75887 32394 66328 31364 579713 122053 30141 59019 90932 22301 49318 50166 81408 35795 77418 36865 655416 87.5 87.1 91.2 88.7 86.8 88.3 86.3 93.2 90.5 85.7 85.1 201.4 0.184 0.045 0.093 0.139 0.033 0.075 0.075 0.131 0.056 0.114 0.054 106795 102623 102362 83.8 89.7 75.5 98.7 84.7 60.6 11.2 46.6 86.3 46 9.8 20.9 163 86.6 86.5 163.1 107.5 65.3 178.3 514.2 188.3 123 72.5 199.2 583.1 86.6 87.4 90.1 89.5 199.1 0.317 0.209 0.127 0.347
"1970" 115827 28523 55458 87483 20848 47689 48595 74942 34710 70891 33830 618796 125180 30789 58461 94728 23105 51120 53653 78389 36897 78631 37960 668913 92.5 92.6 94.9 92.4 90.2 93.3 90.6 95.6 94.1 90.2 89.1 203.8 0.187 0.046 0.09 0.141 0.034 0.077 0.079 0.121 0.056 0.115 0.055 115827 110590 109820 87.5 95.3 83 98.2 86.5 62 11.8 48.5 92 50 11.3 21.6 174.9 91 90.5 175.9 112.3 67.3 190 545.4 193.3 123.8 70.9 197.2 585.2 91 90.7 94.9 96.3 201.7 0.322 0.206 0.123 0.348
"1971" 119328 29909 59500 96187 22582 52284 53463 86436 37077 76042 35364 668172 125649 30835 60801 99506 23479 53314 56029 87271 37856 79703 37501 691944 95 97 97.9 96.7 96.2 98.1 95.4 99 97.9 95.4 94.3 206.2 0.179 0.045 0.089 0.144 0.034 0.078 0.08 0.129 0.055 0.114 0.053 119328 114627 113434 91.4 86.3 91.8 98.7 85.8 68.2 11.5 48.7 95.4 49.8 12.2 21.8 179.2 91.3 90.8 180.2 118.9 75 182.4 556.5 197.4 124.8 75.5 181.7 579.4 91.3 95.3 99.3 100.4 204.2 0.324 0.214 0.135 0.328
"1972" 127811 31994 64739 105019 25125 56578 59875 99544 40884 82730 38732 733031 127815 31994 64741 105018 25126 56577 59875 99544 40883 82726 38731 733030 100 100 100 100 100 100 100 100 100 100 100 208.2 0.174 0.044 0.088 0.143 0.034 0.077 0.082 0.136 0.056 0.113 0.053 127811 122192 121200 100 100 100 100 87.7 62.9 12.5 50.9 106.6 53.2 14.4 23.1 197.4 100 100 197.4 119.3 74.3 196 586.9 197.4 119.3 74.3 196 586.9 100 100 100 100 206.5 0.336 0.203 0.127 0.334
"1973" 143567 34436 71732 115012 28299 62072 66855 110434 45959 90161 41358 809885 126108 34298 69318 110266 26330 59427 63599 108498 44876 86296 37918 766934 113.8 100.4 103.5 104.3 107.5 104.5 105.1 101.8 102.4 104.5 109.1 209.9 0.177 0.043 0.089 0.142 0.035 0.077 0.083 0.136 0.057 0.111 0.051 143567 138817 139621 119.9 133 114.7 140.2 82.6 57.6 12.9 49.2 120.4 64.8 17.1 31.3 233.6 125.3 125.3 233.6 137.5 82.7 217.1 670.8 186.4 120.6 74.3 204.6 585.9 125.3 114 111.3 106.1 208.1 0.348 0.205 0.123 0.324
"1974" 163007 36793 76255 127212 33654 74015 75301 107646 50855 99365 45498 889601 123199 34436 68893 116110 24977 59782 65704 99072 44347 87749 36433 760701 132.3 106.8 110.7 109.6 134.7 123.8 114.6 108.7 114.7 113.2 124.9 211.4 0.183 0.041 0.086 0.143 0.038 0.083 0.085 0.121 0.057 0.112 0.051 163007 154617 160264 123.4 132.4 132.3 133.1 88.3 62.2 12.2 50 132.4 69.7 18.6 30.2 250.9 128 127.5 251.9 154.4 98.3 260.7 765.2 196.8 116.4 67.9 202.7 583.8 128 132.6 144.8 128.6 209.7 0.329 0.202 0.128 0.341
"1975" 180493 39617 81884 139614 39498 79589 87407 117123 53762 110099 49985 979071 126551 34471 71175 121162 26017 60328 67010 99246 41423 90725 36454 774562 142.6 114.9 115 115.2 151.8 131.9 130.4 118 129.8 121.4 137.1 213.1 0.184 0.04 0.084 0.143 0.04 0.081 0.089 0.12 0.055 0.112 0.051 180493 167020 173671 124.5 161.9 143.3 147.1 92.5 51.2 12.3 49.2 140 70.1 20.3 32.9 263.3 139.1 136.9 267.5 168.6 114.2 275.4 825.7 192.3 123.2 70.9 192.1 578.5 139.1 136.8 161.1 143.4 211.4 0.324 0.204 0.138 0.334
"1976" 195623 43033 88950 154319 45084 89135 99315 140007 58144 121871 54386 1089867 134339 35738 74799 127024 27098 62539 70980 112192 42378 95844 37638 820569 145.6 120.4 118.9 121.5 166.4 142.5 139.9 124.8 137.2 127.2 144.5 214.7 0.179 0.039 0.082 0.142 0.041 0.082 0.091 0.128 0.053 0.112 0.05 195623 183301 183224 120.4 164.1 160.2 141 99 54.6 13.1 52.5 145 75.8 24.2 33.6 278.6 140.2 135.5 288.2 181 116.9 283.8 869.8 205.5 129 74.2 178.8 587.5 140.2 140.3 157.5 158.7 213 0.331 0.208 0.134 0.326
"1977" 212877 45389 96590 173766 51375 99827 114566 159505 63249 133274 59551 1209969 139922 36344 78216 134929 28004 64911 74744 122724 43707 100380 37817 861698 152.1 124.9 123.5 128.8 183.5 153.8 153.3 130 144.7 132.8 157.5 216.4 0.176 0.038 0.08 0.144 0.042 0.083 0.095 0.132 0.052 0.11 0.049 212877 192298 190361 119.8 155.3 177.3 141.9 96.4 56.7 12.9 54.1 140.4 74.5 26.4 34.9 276.1 139.4 134.9 285.3 193.9 120.7 295.9 895.8 204.6 126.5 75.4 163.1 569.7 139.4 153.3 160 181.4 214.7 0.318 0.216 0.135 0.33
"1978" 235168 48848 107559 197086 56568 110539 128745 178322 70913 150917 66100 1350765 140408 36848 84428 143170 28694 68537 77283 129853 46550 106190 38817 900778 167.5 132.6 127.4 137.7 197.1 161.3 166.6 137.3 152.3 142.1 170.3 218.1 0.174 0.036 0.08 0.146 0.042 0.082 0.095 0.132 0.052 0.112 0.049 235168 215961 213513 142.2 184.3 194.1 156.6 91.3 56.5 13.6 56.8 157.8 88.1 30.5 40.4 316.8 162.7 158.1 325.9 223 130.7 315.3 994.9 200.3 130.9 75 169.7 575.9 162.7 170.3 174.3 185.8 216.6 0.328 0.224 0.131 0.317
"1979" 266509 58584 116247 217591 63943 139760 139882 182727 70247 174396 77281 1507167 146189 40451 87837 147201 28212 74037 82497 125944 43072 111203 40956 927599 182.3 144.8 132.3 147.8 226.7 188.8 169.6 145.1 163.1 156.8 188.7 224.6 0.177 0.039 0.077 0.144 0.042 0.093 0.093 0.121 0.047 0.116 0.051 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"1980" 297850 64363 124321 245248 75572 168855 160610 179373 76720 192251 86029 1667192 149509 41188 88546 152441 27801 71471 85096 116140 43023 114917 40356 930488 199.2 156.3 140.4 160.9 271.8 236.3 188.7 154.4 178.3 167.3 213.2 227.2 0.176 0.039 0.075 0.147 0.045 0.101 0.096 0.108 0.046 0.115 0.052 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"1981" 322366 69343 136307 272060 86518 183215 189581 195635 84476 208977 94706 1843154 151161 41233 93752 155641 28098 70298 89158 117946 43745 116241 40392 947656 213.3 168.2 145.4 174.8 307.9 260.1 212.6 165.9 193.1 179.8 234.5 229.3 0.175 0.038 0.074 0.148 0.047 0.099 0.103 0.106 0.046 0.113 0.051 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
